Time (s)	Time (min)	T (K)	Radius (V)	theta
166.823766829	2.78039611381	295.664	6.33304e-08	-117.9
168.632799294	2.81054665491	295.664	7.82316e-08	-143.616
170.442460988	2.84070768314	295.663	8.19568e-08	-161.568
172.250291342	2.87083818903	295.664	8.56821e-08	177.798
174.07790633	2.90129843883	295.664	9.31327e-08	159.678
175.878939761	2.93131566269	295.664	9.31327e-08	150.75
177.678965658	2.96131609431	295.663	8.94074e-08	145.716
179.483639723	2.99139399539	295.663	6.70557e-08	144.78
181.291843134	3.0215307189	295.664	4.47037e-08	158.964
183.103472652	3.05172454421	295.664	2.60771e-08	-172.878
184.913521402	3.08189202336	295.664	2.60771e-08	-135.0
186.721623324	3.1120270554	295.664	1.86266e-08	-90.0
188.5314425	3.14219070833	295.663	3.35278e-08	-26.562
190.340287387	3.17233812312	295.663	7.45063e-08	-7.434
192.146271002	3.20243785003	295.663	1.1921e-07	-7.908
193.956113275	3.23260188792	295.663	1.56463e-07	-8.652
195.763942929	3.26273238214	295.662	1.71364e-07	-8.916
197.575048207	3.29291747012	295.663	1.63914e-07	-11.538
199.381458073	3.32302430122	295.663	1.52738e-07	-19.23
201.180880289	3.35301467149	295.663	1.34111e-07	-32.154
202.986075444	3.38310125741	295.663	1.30386e-07	-45.0
204.794738352	3.41324563921	295.662	1.26661e-07	-54.636
206.594044382	3.44323407303	295.663	9.6858e-08	-62.592
208.393990488	3.4732331748	295.663	7.0781e-08	-74.052
210.208865185	3.50348108642	295.663	5.21543e-08	-100.62
212.010139389	3.53350232315	295.663	5.21543e-08	-135.0
213.808957924	3.56348263207	295.663	5.58796e-08	-162.648
215.610345515	3.59350575859	295.662	5.96051e-08	163.608
217.410082696	3.62350137826	295.663	7.45063e-08	136.734
219.21231054	3.65353850901	295.663	1.00583e-07	125.754
221.011490934	3.6835248489	295.663	1.1921e-07	127.182
222.810805363	3.71351342271	295.663	1.30386e-07	138.012
224.610858557	3.74351430928	295.663	1.26661e-07	149.532
Time (s)	Time (min)	T (K)	Radius (V)	theta
1.06634715325	0.0177724525542	295.664	1.26661e-07	-106.554
2.87251414713	0.0478752357855	295.664	1.26661e-07	-90.0
4.67158325372	0.0778597208953	295.663	1.15484e-07	-79.992
6.47210889353	0.107868481559	295.662	9.31327e-08	-75.468
8.27170713953	0.137861785659	295.662	7.45063e-08	-74.748
10.0721445894	0.167869076491	295.662	5.58796e-08	-72.648
14.2968538602	0.238280897671	295.663	3.72531e-08	-14.034
17.4693564587	0.291155940978	295.662	7.82316e-08	2.388
21.3281402779	0.355469004632	295.663	8.19568e-08	-18.432
23.1267673851	0.385446123086	295.663	7.82316e-08	-29.748
24.9287310103	0.415478850172	295.664	6.70557e-08	-50.904
26.7288272493	0.445480454155	295.663	6.33304e-08	-92.862
28.5303163288	0.475505272146	295.664	8.94074e-08	-124.284
30.3300654075	0.505501090125	295.664	1.11759e-07	-139.764
32.1341476901	0.535569128168	295.664	1.30386e-07	-147.096
33.9421621224	0.565702702041	295.664	1.45287e-07	-145.224
35.7503375364	0.595838958939	295.663	1.56463e-07	-138.366
37.551729677	0.625862161283	295.664	1.63914e-07	-135.804
39.3561444215	0.655935740358	295.663	1.60188e-07	-137.49
41.1651744375	0.686086240625	295.662	1.37837e-07	-146.688
42.9795829877	0.716326383129	295.662	1.08034e-07	-167.664
44.7834962397	0.746391603995	295.662	7.45063e-08	164.748
46.5923943209	0.776539905348	295.662	5.58796e-08	120.966
48.4004468988	0.806674114981	295.662	6.33304e-08	93.012
50.2080851243	0.836801418738	295.662	6.33304e-08	90.0
52.0079489898	0.866799149831	295.662	4.8429e-08	113.202
53.8073470588	0.896789117646	295.662	5.96051e-08	160.56
55.6081509167	0.926802515279	295.662	8.56821e-08	-175.602
57.4080427791	0.956800712985	295.663	9.31327e-08	-167.904
59.2140354929	0.986900591549	295.664	6.33304e-08	-159.774
61.0130514056	1.01688419009	295.663	1.11759e-08	-90.0
62.8150808232	1.04691801372	295.663	6.33304e-08	-2.862
64.614349057	1.07690581762	295.663	1.15484e-07	3.27
66.4143613056	1.10690602176	295.662	1.41562e-07	10.782
68.2150440775	1.13691740129	295.663	1.45287e-07	17.196
70.0248489048	1.16708081508	295.663	1.26661e-07	19.356
71.8298200856	1.19716366809	295.663	8.19568e-08	11.31
73.6397711962	1.22732951994	295.663	4.09784e-08	-22.62
75.4475312077	1.25745885346	295.662	4.47037e-08	-77.904
77.2586382359	1.2876439706	295.662	6.33304e-08	-101.886
79.0690232968	1.31781705495	295.663	5.58796e-08	-120.966
80.8783241819	1.3479720697	295.662	4.09784e-08	-141.342
82.684471228	1.37807452047	295.662	3.35278e-08	-169.692
84.4944503354	1.40824083892	295.663	3.72531e-08	-165.966
86.3019972213	1.43836662036	295.663	4.8429e-08	-132.276
88.1132991772	1.46855498629	295.662	6.33304e-08	-105.522
89.9210353914	1.49868392319	295.663	6.33304e-08	-81.468
91.7313900058	1.5288565001	295.663	4.47037e-08	-53.976
93.5396581591	1.55899430265	295.663	3.35278e-08	45.0
95.3501583569	1.58916930595	295.662	9.31327e-08	79.878
97.1586228377	1.61931038063	295.662	1.30386e-07	87.138
98.9670911681	1.64945151947	295.663	1.34111e-07	92.79
100.774710146	1.67957850243	295.663	9.31327e-08	99.78
102.585614897	1.70976024828	295.663	4.47037e-08	107.1
104.390171375	1.73983618959	295.663	0.0	-90.0
106.19004784	1.76983413066	295.664	2.98025e-08	-23.964
107.996178438	1.79993630729	295.663	5.96051e-08	9.462
109.80428106	1.830071351	295.663	1.00583e-07	30.648
111.603596188	1.86005993647	295.663	1.49013e-07	39.642
113.403338268	1.8900556378	295.662	1.86265e-07	45.726
115.203071598	1.92005119331	295.663	1.86265e-07	50.064
117.002862322	1.95004770537	295.663	1.63914e-07	57.264
118.802717789	1.98004529648	295.663	1.41562e-07	64.026
120.603512898	2.0100585483	295.663	1.26661e-07	68.196
122.403281224	2.04005468707	295.662	1.08034e-07	72.12
124.203642733	2.07006071222	295.662	9.31327e-08	72.18
126.003445006	2.10005741676	295.662	9.31327e-08	64.356
127.810849108	2.13018081846	295.663	7.82316e-08	51.708
129.616868769	2.16028114614	295.663	6.33304e-08	32.004
131.427138693	2.19045231154	295.662	5.21543e-08	3.576
133.234737023	2.22057895038	295.663	5.21543e-08	-18.432
135.044471158	2.25074118597	295.663	5.58796e-08	-20.556
136.852292063	2.28087153438	295.663	6.33304e-08	-20.226
138.659907541	2.31099845901	295.662	7.45063e-08	-23.202
140.459447343	2.34099078905	295.663	8.56821e-08	-30.582
142.26584846	2.37109747434	295.663	8.94074e-08	-38.994
144.072163137	2.40120271896	295.663	7.82316e-08	-45.0
145.871406874	2.43119011457	295.663	5.58796e-08	-64.98
147.672911702	2.46121519503	295.663	4.09784e-08	-112.62
149.473060435	2.49121767391	295.663	4.8429e-08	-148.392
151.272247828	2.52120413046	295.664	6.70557e-08	-163.302
153.072908552	2.55121514253	295.664	8.19568e-08	-165.966
154.873445391	2.58122408984	295.664	6.70557e-08	-163.302
156.677155316	2.61128592193	295.664	2.98025e-08	-168.69
158.475906659	2.64126511098	295.664	1.86266e-08	90.0
160.275521003	2.67125868338	295.664	4.47037e-08	65.226
162.077603614	2.70129339357	295.664	3.72531e-08	70.02
163.888223498	2.73147039164	295.664	3.72532e-09	116.562
165.698550466	2.76164250777	295.664	2.98025e-08	-116.562
167.507916444	2.79179860739	295.664	5.58796e-08	-96.708
169.316257389	2.82193762314	295.664	6.33304e-08	-78.114
171.125625816	2.8520937636	295.664	5.58796e-08	-69.444
172.934026604	2.88223377673	295.664	4.8429e-08	-61.698
174.743564062	2.91239273437	295.664	4.8429e-08	-61.698
176.549578473	2.94249297455	295.664	4.47037e-08	-65.226
178.358609889	2.97264349815	295.664	4.09784e-08	-61.392
180.168338425	3.00280564042	295.664	4.09784e-08	-32.472
181.979398909	3.03298998181	295.665	7.45063e-08	-12.804
183.788151057	3.06313585095	295.663	1.1921e-07	-7.908
185.597606974	3.09329344957	295.664	1.60188e-07	-8.13
187.406233486	3.12343722477	295.665	2.08617e-07	-10.062
189.215220807	3.15358701345	295.665	2.45871e-07	-14.784
191.023815823	3.18373026372	295.665	2.68223e-07	-20.226
